Node,Transmit Count,Fail Count,Failure Rate (%),RREQ Count
rsu[0],771,0,0,117
node[20],167,6,3.592814371257485,33
node[17],727,44,6.052269601100413,85
node[46],723,30,4.149377593360995,71
node[25],755,60,7.9470198675496695,113
node[7],131,13,9.923664122137405,119
node[31],591,35,5.922165820642978,113
node[61],254,18,7.086614173228346,120
node[36],741,62,8.367071524966262,117
node[75],465,7,1.5053763440860215,65
node[152],546,39,7.142857142857142,77
node[161],420,27,6.428571428571428,116
node[145],46,22,47.82608695652174,109
node[51],25,8,32.0,105
node[182],61,7,11.475409836065573,105
node[39],12,0,0,92
node[157],451,29,6.430155210643015,87
node[32],32,14,43.75,110
node[155],23,7,30.434782608695656,111
node[194],5,0,0,90
node[143],5,0,0,123
node[80],126,6,4.761904761904762,122

Total Transmit Count,7077
Total Failed Count,506
Average Node Failure Rate (%),13.599785631310494
RSU Failure Rate (%),1.0173802458668928
Overall Failure Rate (%),7.14992228345344
